Date,NumberOfPassengers
1/31/2021,628989
2/1/2021,493338
2/2/2021,618615
2/3/2021,778065
2/4/2021,868624
2/5/2021,705951
2/6/2021,854636
2/7/2021,864783
2/8/2021,617619
2/9/2021,735009
2/10/2021,1034514
2/11/2021,1151420
2/12/2021,900696
2/13/2021,946458
2/14/2021,967693
2/15/2021,738825
2/16/2021,773422
2/17/2021,914823
2/18/2021,1059452
2/19/2021,942238
2/20/2021,1115479
2/21/2021,963280
2/22/2021,714725
2/23/2021,802230
2/24/2021,1051149
2/25/2021,1096348
2/26/2021,917282
2/27/2021,1190682
2/28/2021,1049692
3/1/2021,744812
3/2/2021,826924
3/3/2021,1107534
3/4/2021,1168734
3/5/2021,992406
3/6/2021,1278557
3/7/2021,1119303
3/8/2021,825745
3/9/2021,974221
3/10/2021,1286894
3/11/2021,1409771
3/12/2021,1227484
3/13/2021,1345284
3/14/2021,1267345
3/15/2021,1092548
3/16/2021,1146539
3/17/2021,1413141
3/18/2021,1477841
3/19/2021,1373259
3/20/2021,1543136
3/21/2021,1360290
3/22/2021,1076453
3/23/2021,1164954
3/24/2021,1444744
3/25/2021,1535156
3/26/2021,1408198
3/27/2021,1574228
3/28/2021,1406234
3/29/2021,1130520
3/30/2021,1278113
3/31/2021,1562239
4/1/2021,1580785
4/2/2021,1397958
4/3/2021,1543474
4/4/2021,1561959
4/5/2021,1195306
4/6/2021,1230939
4/7/2021,1510829
4/8/2021,1549181
4/9/2021,1378237
4/10/2021,1561495
4/11/2021,1468972
4/12/2021,1085034
4/13/2021,1152703
4/14/2021,1491435
4/15/2021,1468218
4/16/2021,1277815
4/17/2021,1572383
4/18/2021,1412500
4/19/2021,1082443
4/20/2021,1164099
4/21/2021,1509649
4/22/2021,1521393
4/23/2021,1259724
4/24/2021,1571220
4/25/2021,1369410
4/26/2021,1077199
4/27/2021,1184326
4/28/2021,1526681
4/29/2021,1558553
4/30/2021,1335535
5/1/2021,1626962
5/2/2021,1463672
5/3/2021,1134103
5/4/2021,1268938
5/5/2021,1644050
5/6/2021,1703267
5/7/2021,1429657
5/8/2021,1707805
5/9/2021,1657722
5/10/2021,1315493
5/11/2021,1424664
5/12/2021,1743515
5/13/2021,1716561
5/14/2021,1453267
5/15/2021,1850531
5/16/2021,1734541
5/17/2021,1408017
5/18/2021,1496089
5/19/2021,1728496
5/20/2021,1820433
5/21/2021,1550044
5/22/2021,1863697
5/23/2021,1747353
5/24/2021,1470840
5/25/2021,1618169
5/26/2021,1854534
5/27/2021,1959593
5/28/2021,1605810
5/29/2021,1650454
5/30/2021,1900170
5/31/2021,1682752
6/1/2021,1587910
6/2/2021,1815931
6/3/2021,1879885
6/4/2021,1681192
6/5/2021,1984658
6/6/2021,1828396
6/7/2021,1560561
6/8/2021,1669537
6/9/2021,1975189
6/10/2021,2028961
6/11/2021,1812797
6/12/2021,1817661
6/13/2021,2097433
6/14/2021,1800954
6/15/2021,1678688
6/16/2021,1792370
6/17/2021,2039425
6/18/2021,2081115
6/19/2021,1882381
6/20/2021,2100761
6/21/2021,2030577
6/22/2021,1795141
6/23/2021,1801329
6/24/2021,2085327
6/25/2021,2137584
6/26/2021,1918705
6/27/2021,2167380
6/28/2021,2066964
6/29/2021,1808306
6/30/2021,1920663
7/1/2021,2147090
7/2/2021,2196411
7/3/2021,1915017
7/4/2021,1681896
7/5/2021,2160147
7/6/2021,1889911
7/7/2021,1880160
7/8/2021,2027364
7/9/2021,2147903
7/10/2021,1987652
7/11/2021,2198635
7/12/2021,2093066
7/13/2021,1832878
7/14/2021,1900945
7/15/2021,2152053
7/16/2021,2199815
7/17/2021,1979981
7/18/2021,2227704
7/19/2021,2141429
7/20/2021,1871986
7/21/2021,1934918
7/22/2021,2101343
